fiscal_year,fiscal_month,product_code,product_name,group_code,group_name,line_name,color,avg_unit_price,forecast_qty_base,forecast_revenue_base,forecast_qty_conservative,forecast_qty_optimistic,forecast_revenue_conservative,forecast_revenue_optimistic,calibration_factor,selected_forecast_model,forecast_selection_type
2026,4,000131002019002,Xe đạp Thống Nhất GN 06 20 2024 Vàng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20 2024,Vàng,1165901.3231707318,102.63,119656452.7970122,82.104,123.15599999999999,95725162.23760976,143587743.35641465,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000232003008000,Xe đạp Thống Nhất MS 27.5 Ghi,Unknown,Unknown,Unknown,Ghi,2233333.0,53.13,118656982.29,42.504000000000005,63.756,94925585.83200002,142388378.748,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000231002002000,Xe đạp Thống Nhất LD 26 We Bare Bears Trắng,Unknown,Unknown,Unknown,Trắng,2106957.7281553396,55.550000000000004,117041501.79902913,44.440000000000005,66.66,93633201.4392233,140449802.15883493,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000219002022000,Xe đạp Thống Nhất GN 2.0 700C Xanh,Unknown,Unknown,Unknown,Xanh,1690702.9797979798,68.08999999999999,115119965.89444442,54.471999999999994,81.70799999999998,92095972.71555555,138143959.07333332,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000217003005000,Xe đạp Thống Nhất GN 06-26 2.0 Cam,CITYBIKE_P,Xe phổ thông,Xe GN 06-26 2.0,Cam,1607040.6821705427,69.52,111721468.22449613,55.616,83.42399999999999,89377174.5795969,134065761.86939535,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,CITYBIKE_P,Xe phổ thông,Xe MTB 26 02,Đỏ Tươi,1684974.2745098039,66.11,111393649.28784314,52.888000000000005,79.332,89114919.43027452,133672379.14541174,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,100029005090000,Xe đạp Thống Nhất CPD 700C Hồng,Unknown,Unknown,Unknown,Hồng,2635749.3658536584,41.690000000000005,109884391.06243904,33.352000000000004,50.028000000000006,87907512.84995122,131861269.27492684,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000131002004005,Xe đạp Thống Nhất GN 06 20 2024 Đỏ,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20 2024,Đỏ,1167900.43697479,93.94,109712567.04941176,75.152,112.728,87770053.63952942,131655080.45929411,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000224002024000,Xe đạp Thống Nhất New 24 Tím,CITYBIKE_P,Xe phổ thông,Xe New 24,Tím,1410609.6435643565,77.22,108927276.6760396,61.776,92.664,87141821.3408317,130712732.01124753,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000209002007000,Xe đạp Thống Nhất 219-26 Coban,CITYBIKE_P,Xe phổ thông,Xe 219-26,Coban,1463241.2038834952,70.18,102690267.6885437,56.144000000000005,84.21600000000001,82152214.15083496,123228321.22625244,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000132002022001,Xe đạp Thống Nhất GN 2.0 20 xanh - Superman,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 2.0 20 DC (IP - Bản quyền),Xanh,1313167.8541666667,75.57,99236094.739375,60.455999999999996,90.68399999999998,79388875.7915,119083313.68724999,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000335002013000,Xe đạp Thống Nhất Super 24 Xanh,SPORTBIKE_S,Xe thể thao thép,Xe Super 24,Xanh,1993410.6141732284,49.41,98494418.44629921,39.528,59.291999999999994,78795534.75703937,118193302.13555905,0.9,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000215004000000,Xe đạp Thống Nhất GN 05-27,CITYBIKE_P,Xe phổ thông,Xe GN 05-27,Unknown,1560068.9285714286,61.60000000000001,96100246.00000001,49.28000000000001,73.92,76880196.80000001,115320295.2,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000336002004000,Xe đạp Thống Nhất SK 20 đỏ,Unknown,Unknown,Unknown,Đỏ,1351085.5096153845,69.74,94224703.44057691,55.792,83.68799999999999,75379762.75246154,113069644.12869228,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,000225002024000,Xe đạp Thống Nhất New 26 Tím,CITYBIKE_P,Xe phổ thông,Xe New 26,Tím,1556666.5714285714,59.290000000000006,92294761.02000001,47.43200000000001,71.14800000000001,73835808.81600001,110753713.224,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
2026,4,100029005220000,Xe đạp Thống Nhất CPD 700C Xanh,Unknown,Unknown,Unknown,Xanh,2900130.396551724,31.46,91238102.27551724,25.168000000000003,37.752,72990481.8204138,109485722.7306207,1.1,benchmark_ewma_2m_a30,data_driven_benchmark
